Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCH29,OUT046,1749.8994916442455
FDU58,OUT013,1876.557913613218
FDY27,OUT017,1829.7953845940388
FDV56,OUT035,1818.1878503473183
FDT59,OUT046,1797.923582514946
FDB23,OUT046,1759.3999899375378
FDR49,OUT045,1706.2432381118863
FDB03,OUT010,1603.8160361857747
FDN39,OUT045,1797.369069348933
FDX02,OUT027,1947.423327479546
FDQ16,OUT027,1890.918852799407
FDU35,OUT018,1716.9999807028664
NCT29,OUT013,1781.5348368531643
FDZ27,OUT046,1711.376103089531
FDN57,OUT017,1842.3342859461013
FDA03,OUT018,1739.5502092653994
FDZ36,OUT045,1808.7702204058764
NCU05,OUT013,1750.8089887531573
FDT39,OUT018,1742.392898686569
FDK60,OUT017,1756.1320917829887
FDZ25,OUT017,1841.8665151290593
FDG12,OUT046,1749.5825646565957
DRB01,OUT019,1599.607674300464
NCC43,OUT027,1977.9475455569877
FDX13,OUT019,1600.0978322479948
FDM22,OUT049,1741.4627618102575
FDJ03,OUT027,1842.2666969313223
FDU14,OUT018,1799.230869194215
FDB33,OUT010,1547.2275813119766
FDP27,OUT046,1804.1792997813166
FDO38,OUT010,1527.1685318134253
FDE28,OUT027,1938.6221477977367
FDO27,OUT035,1752.2632362574666
DRL23,OUT027,1795.2062305475856
FDS28,OUT046,1713.8028779424192
FDX24,OUT013,1758.5251774046476
FDZ02,OUT035,1775.946958858628
FDL46,OUT045,1795.7639382891266
FDS60,OUT027,1909.4228939262728
NCO06,OUT017,1730.4818117281059
FDO16,OUT035,1767.282306810701
FDC60,OUT049,1730.487514304019
FDA48,OUT018,1769.1079607600636
FDZ36,OUT027,1908.4233429110614
FDK27,OUT045,1769.1275274993486
FDW23,OUT018,1666.2169725171043
FDM14,OUT018,1723.7879885479738
FDM14,OUT013,1791.9902218279199
FDW60,OUT018,1750.9181774535805
FDE21,OUT013,1815.272771510699
NCM42,OUT035,1822.396253408533
FDY59,OUT010,1528.785923092596
DRI49,OUT049,1712.0415174308541
FDT28,OUT019,1522.235811538217
FDQ22,OUT018,1686.1938059528056
FDR60,OUT049,1720.876554349325
FDC50,OUT019,1562.1468932308517
FDV24,OUT013,1791.3891513043764
DRF48,OUT010,1606.0095484615201
FDQ47,OUT046,1711.989890781271
DRN36,OUT049,1734.8516220600125
NCY06,OUT035,1845.687999483491
FDE52,OUT035,1774.2033699349693
NCB54,OUT045,1766.360636557881
NCF31,OUT035,1866.936627584452
FDJ08,OUT027,1972.8701108717646
NCC07,OUT017,1808.045516974307
NCD19,OUT027,1877.2832355390476
FDL46,OUT049,1807.6359252316013
FDM20,OUT045,1906.4327055908147
NCI06,OUT010,1555.920210220622
DRM11,OUT035,1802.1864048481746
NCH07,OUT018,1762.4076277562654
FDS23,OUT013,1757.6014855282024
FDO49,OUT018,1701.9725515128061
FDS35,OUT049,1730.465397371815
DRK39,OUT045,1732.0678374236174
DRI39,OUT049,1718.1588558879976
FDV04,OUT017,1800.8428388887842
NCN14,OUT035,1762.5959771323687
FDH08,OUT013,1902.862181771885
FDS20,OUT046,1856.3451264251582
FDV40,OUT049,1742.9258359244302
FDZ48,OUT010,1525.9884314134067
FDS24,OUT027,1855.5304691873257
FDK44,OUT049,1837.1888911844107
FDS48,OUT045,1791.9453712233578
FDK26,OUT010,1589.3387017162722
FDD23,OUT045,1752.780888258823
NCH54,OUT017,1844.8468831438595
NCP14,OUT010,1522.699253097555
FDM60,OUT010,1509.5556240201088
FDV24,OUT017,1792.589662280508
FDH08,OUT018,1805.6900762919129
FDS12,OUT027,1857.7674293001635
FDR39,OUT027,1886.5310273998377
FDP12,OUT027,1828.837178470463
DRF60,OUT027,1903.593443827452
FDC09,OUT035,1811.3907100744273
FDF50,OUT018,1757.9999887716292
FDG28,OUT035,1902.9113530813556
NCE19,OUT017,1751.4517220843773
NCM53,OUT010,1546.7968394473833
NCN18,OUT049,1801.9753109165717
FDF32,OUT035,1900.7928932441457
FDF11,OUT013,1766.8796067759633
DRI59,OUT049,1786.229627069405
NCG54,OUT035,1881.0378565736414
FDM44,OUT046,1782.9941193527982
FDT57,OUT018,1822.5166036205094
FDV24,OUT046,1779.504733962623
FDI50,OUT019,1596.7099056451186
FDS09,OUT035,1755.3136655703051
NCC31,OUT027,1948.9091510630094
FDQ07,OUT019,1550.5231346308408
FDC22,OUT017,1859.0987431252474
FDZ56,OUT046,1849.6192894458409
FDZ40,OUT019,1498.6024222636247
FDS46,OUT027,1934.2181476897188
DRD24,OUT045,1766.822499879084
FDV45,OUT017,1889.7719912365717
FDL26,OUT045,1808.9690022687753
FDA56,OUT018,1735.26407987984
FDN27,OUT046,1767.64170311625
FDM20,OUT049,1907.6671756010692
FDO16,OUT017,1753.2491802300653
FDL03,OUT035,1839.0504614622746
FDE58,OUT046,1803.5131098470765
FDI02,OUT027,1887.489247919284
NCC55,OUT019,1518.9792517601384
FDR03,OUT018,1769.8035579680613
FDB14,OUT017,1768.3513214053667
FDR45,OUT013,1902.5385818368668
NCN07,OUT017,1743.5418530683075
FDM51,OUT019,1565.880254365442
FDT52,OUT027,1963.23871694434
FDL26,OUT046,1807.4360619922356
NCZ42,OUT046,1898.678778940539
DRI47,OUT019,1638.404570068119
FDW40,OUT013,1802.7576756916844
FDN34,OUT046,1853.3215613592238
FDS01,OUT035,1861.0765430740173
NCG55,OUT045,1802.3695950483027
FDC11,OUT035,1730.4487184561758
FDX35,OUT018,1756.2101880029816
NCB06,OUT046,1795.9820306778568
FDR09,OUT019,1580.8983700518995
FDC53,OUT017,1770.2771892962498
FDY45,OUT013,1928.0368805886308
FDA22,OUT010,1668.4956678172973
FDE02,OUT035,1776.137742217286
FDW21,OUT045,1775.5474412354235
FDV34,OUT046,1762.0644926038915
FDS59,OUT049,1757.3523124483584
NCW17,OUT017,1790.4718368748972
NCK54,OUT046,1802.3829962230468
FDG17,OUT019,1589.8992002531497
FDG35,OUT017,1751.8906309088275
FDD08,OUT010,1486.521687155673
NCO07,OUT017,1766.43052453139
FDJ10,OUT010,1600.3244423611986
FDW36,OUT017,1765.8378419212934
FDW21,OUT010,1543.8717629060277
FDY19,OUT017,1810.5926996561227
DRE03,OUT013,1735.3984331400322
NCC55,OUT049,1730.2198296156496
FDH52,OUT010,1501.8856014104463
FDO09,OUT017,1920.624569562021
FDU43,OUT045,1894.1227365831655
FDX09,OUT010,1540.0735604018616
FDH40,OUT019,1499.974481085055
FDW58,OUT017,1806.4981221071555
FDC47,OUT017,1904.1546773829116
NCR41,OUT035,1766.1897851901606
DRG49,OUT035,1848.2376873270746
FDC52,OUT027,1912.3168602423266
FDY13,OUT046,1744.7989829426906
FDY35,OUT013,1733.523865307611
FDI35,OUT017,1758.725736891104
NCU18,OUT049,1831.174625459409
FDY33,OUT018,1763.8393164533493
FDC15,OUT027,1876.9647175068626
FDU01,OUT049,1831.8914454829849
NCU42,OUT046,1846.9780703588294
NCV29,OUT018,1754.6213829544263
NCY30,OUT017,1874.0367701191963
FDQ46,OUT049,1786.3197720922187
FDG58,OUT027,1956.4219276912222
FDK33,OUT017,1906.8008375586114
NCD07,OUT045,1798.2790508045932
NCX29,OUT027,1884.3583887370023
NCT42,OUT013,1841.3260906171483
DRN59,OUT035,1725.5819013421562
FDI44,OUT035,1775.1861869604775
FDA45,OUT049,1829.9873294007127
FDP31,OUT045,1720.7118841721906
FDY01,OUT046,1758.3710421470207
FDT09,OUT018,1753.0602538385242
DRH03,OUT027,1875.9986587509745
FDA36,OUT018,1756.7088402628012
NCF31,OUT017,1851.7955116795697
FDG14,OUT049,1807.1121969837022
FDG28,OUT027,1962.346584714596
FDU14,OUT049,1876.0778426814336
FDY47,OUT019,1619.4281929829533
FDI56,OUT049,1758.8964890447298
DRD01,OUT013,1725.1561554277691
FDM22,OUT046,1746.4596769246248
FDH33,OUT013,1742.5771441793963
DRZ24,OUT013,1763.6046624897497
NCQ38,OUT046,1731.7198653258986
FDO16,OUT027,1868.2484577265052
FDU07,OUT027,1961.8364452448118
NCB07,OUT013,1878.2217916149189
FDU48,OUT045,1772.0856737089632
NCM43,OUT045,1752.1314173995333
FDR31,OUT010,1530.1720512086463
DRK49,OUT018,1673.104693187905
NCI30,OUT010,1599.5129486746
DRD60,OUT017,1811.6499833240775
NCG19,OUT046,1863.3469194696709
FDH12,OUT035,1762.28330469793
FDM32,OUT035,1796.5542051229359
FDM27,OUT035,1798.9677183350836
NCU53,OUT027,1886.9924923250192
NCQ18,OUT046,1768.2633977631924
FDS10,OUT013,1878.6302116080165
FDB33,OUT027,1962.099474910033
FDI12,OUT013,1745.2146042103166
NCW42,OUT013,1901.0812377707641
NCC06,OUT018,1746.282196616009
FDW02,OUT017,1784.6736507084036
NCD43,OUT017,1806.968851915739
FDM57,OUT018,1710.5411596177876
FDA58,OUT017,1911.093409790241
FDK56,OUT046,1840.8414951912298
FDP52,OUT045,1865.7590347714481
FDW20,OUT018,1730.6880439550184
FDS52,OUT049,1762.2999531105395
NCT29,OUT018,1718.0228810340009
NCL54,OUT013,1869.4029220481502
FDC05,OUT045,1837.2082362863773
FDF34,OUT035,1902.7737435297113
FDP03,OUT027,1860.048918767729
FDD32,OUT010,1501.4262142140647
FDZ10,OUT045,1811.330180096444
FDZ40,OUT035,1739.8176373769768
FDD51,OUT018,1667.6469147421838
NCY30,OUT019,1568.6416113999674
FDP58,OUT017,1870.0816736867782
FDV49,OUT017,1899.8603181063272
FDY24,OUT019,1541.9318490211294
NCO55,OUT017,1735.2431553916128
FDR13,OUT017,1796.404444832623
FDS51,OUT017,1742.2008078615559
FDP26,OUT045,1739.255626456401
NCB54,OUT027,1879.2224409071796
FDF32,OUT017,1886.490696633586
FDN31,OUT018,1779.0626426981944
DRM48,OUT017,1700.1787922915996
FDN20,OUT049,1847.2164525511018
DRL01,OUT046,1820.0703983023816
FDV56,OUT049,1791.357286889654
DRH13,OUT027,1847.7650790477715
FDA03,OUT017,1810.858746009588
FDF47,OUT027,1777.3088067158687
FDX32,OUT046,1817.2726390819814
FDX57,OUT049,1783.8822927495357
NCA30,OUT045,1834.3182548419693
FDO49,OUT013,1713.377924722172
FDL04,OUT019,1519.7513268704904
DRM48,OUT035,1707.139283946104
FDR16,OUT013,1846.3136407740676
NCC19,OUT018,1781.1196118880296
NCE42,OUT045,1891.09000851642
FDY24,OUT017,1712.86511589528
FDH19,OUT049,1808.6035185370772
FDJ46,OUT013,1876.8629894446944
FDN45,OUT010,1574.5244470328312
FDY08,OUT035,1811.8815182170163
FDZ37,OUT035,1780.4757916750598
NCT30,OUT045,1726.7772915091116
DRY23,OUT018,1669.8045364806906
NCZ30,OUT018,1741.821396487233
FDC44,OUT018,1709.5337452296963
FDB45,OUT035,1808.8354277086407
FDY04,OUT013,1829.9561133277168
FDM27,OUT046,1770.1473351664943
FDZ43,OUT017,1919.6189297473256
FDT39,OUT019,1593.2511142084627
NCC06,OUT019,1557.9145382246863
FDL15,OUT027,1885.1780690512514
FDL57,OUT017,1933.01742358068
FDU08,OUT046,1779.391965923757
FDK40,OUT017,1897.6944339664296
FDQ12,OUT010,1588.6668943351594
FDS48,OUT017,1809.8281810449569
FDP09,OUT045,1883.3063168674514
FDW21,OUT049,1780.3612489207555
FDY25,OUT035,1863.5451292401083
DRE13,OUT017,1738.4615322919256
FDV43,OUT019,1477.250395223693
FDD22,OUT045,1783.3559693896966
FDM46,OUT019,1536.376677642001
NCO30,OUT010,1579.9520300387915
FDM25,OUT046,1727.0858480758436
NCN41,OUT049,1773.8389798610247
FDU24,OUT045,1725.4053472486712
FDZ50,OUT046,1823.0404023164986
FDP45,OUT013,1927.6513213188157
NCM54,OUT045,1809.9078474590146
FDW10,OUT019,1542.4927179695576
FDP20,OUT017,1819.8130730421317
FDK32,OUT046,1830.3399487220254
FDN52,OUT049,1734.492980110281
FDM58,OUT045,1793.7498510998676
FDZ46,OUT027,1925.9768939342732
NCA18,OUT018,1737.1653583781433
FDD35,OUT046,1739.2826735661267
NCK31,OUT035,1726.7214182768398
FDI40,OUT027,1875.1910165161569
FDT50,OUT019,1529.0302363013675
NCT06,OUT046,1843.9241347749485
FDT31,OUT035,1888.4329831874784
FDT45,OUT049,1741.5458289845026
FDT13,OUT045,1839.1176298490568
FDO50,OUT045,1753.0707427684536
NCU18,OUT010,1532.6899112519732
NCR54,OUT049,1870.4501394337724
NCO18,OUT018,1782.6278951198217
FDU09,OUT045,1730.0453969825837
FDT13,OUT018,1771.4806290356894
FDE09,OUT046,1792.0019567320999
NCK53,OUT019,1541.5281715560482
FDG45,OUT049,1881.215649998488
DRH15,OUT035,1722.8510583698414
FDO21,OUT019,1583.4573838899091
FDD14,OUT027,1873.1797716089427
FDC09,OUT046,1785.3961325359787
FDH45,OUT027,1865.437146601579
FDV32,OUT046,1735.6580075940537
FDG12,OUT035,1785.7346472766533
FDS32,OUT013,1834.6756025626664
NCL55,OUT018,1744.5774755927732
DRE01,OUT035,1826.7072335444905
DRE15,OUT049,1743.0300231971173
NCL42,OUT045,1905.2956764198973
FDP31,OUT013,1740.6794215466284
FDN33,OUT018,1712.2289979254597
FDZ59,OUT046,1791.2755825423674
FDE45,OUT010,1540.576301097952
FDJ07,OUT013,1781.937001204598
FDQ45,OUT018,1787.9220655430431
FDM33,OUT027,1994.117729346762
FDO15,OUT010,1571.0983163842834
FDM46,OUT013,1774.3436403528149
FDR03,OUT045,1824.5501673446745
FDY49,OUT018,1758.2209950542085
FDQ60,OUT045,1750.002638940546
FDW10,OUT049,1855.422569810234
FDO51,OUT049,1719.9034058460206
FDJ40,OUT018,1713.849542772458
FDS20,OUT018,1775.123943084534
FDU45,OUT013,1820.2014246889419
FDV02,OUT035,1843.707873575018
FDN09,OUT046,1912.5596118993735
NCM55,OUT027,1789.998652908826
FDN23,OUT018,1732.2476059230632
FDY31,OUT010,1530.0108177905079
FDW03,OUT010,1578.092539104086
FDD14,OUT046,1802.8757912803774
FDV23,OUT017,1765.1401031336816
DRI03,OUT045,1812.0022091678463
FDN13,OUT035,1720.0494647140217
FDF45,OUT027,1884.3206800542225
FDU46,OUT035,1800.8551663272858
FDB57,OUT049,1885.240751130521
FDV12,OUT049,1757.6227953943494
FDQ58,OUT013,1851.1751164925154
NCA18,OUT017,1816.9345423304585
FDH52,OUT049,1728.07546577013
FDM24,OUT018,1731.079501153743
NCP43,OUT027,1788.0367098869901
NCO18,OUT019,1558.259665840519
FDM32,OUT017,1775.7740218397792
NCL07,OUT017,1715.9072386154924
FDK03,OUT013,1883.8811910129245
FDP59,OUT017,1754.9793797643706
FDQ24,OUT049,1865.2630949246663
FDQ16,OUT018,1715.7603446327653
FDU44,OUT013,1852.5452653476534
FDH28,OUT010,1500.9545636117145
FDV28,OUT019,1538.4473777671976
FDM22,OUT045,1733.6388783353802
FDR56,OUT046,1861.0491688194465
FDV39,OUT049,1823.2813067111247
FDU37,OUT019,1531.7745601865738
FDQ11,OUT010,1670.70820497296
FDX02,OUT045,1855.683477953418
NCS42,OUT018,1718.2485423724827
FDY57,OUT027,1905.3520631317922
FDB21,OUT049,1871.037077366216
FDE28,OUT017,1862.7413770122912
FDQ55,OUT017,1810.657837874305
FDA48,OUT049,1837.9341485430716
FDZ19,OUT045,1833.2361861334618
NCC43,OUT045,1899.5570257843383
NCV18,OUT046,1755.099048677281
NCA42,OUT018,1767.098885797714
FDY45,OUT046,1916.815216616219
NCC30,OUT045,1860.9453897912672
FDM57,OUT013,1788.5846293730383
FDL09,OUT010,1551.7904684021846
FDB09,OUT027,1943.2814470541202
FDT44,OUT035,1815.69406322626
NCT06,OUT027,1958.9581503740985
FDX26,OUT049,1826.3405109700275
FDK32,OUT013,1800.5807765984682
DRA12,OUT046,1769.0382713442718
FDO46,OUT010,1570.249067534343
FDE52,OUT013,1764.8745596441556
NCH42,OUT045,1892.4139044697674
FDV08,OUT035,1745.1378091385136
FDB47,OUT018,1801.927919529892
FDC28,OUT010,1513.6077886179883
FDD22,OUT046,1791.1754184089891
FDS07,OUT027,1929.551279493617
DRI13,OUT045,1818.3596550520201
FDG32,OUT018,1775.2036596173784
FDU14,OUT017,1886.7126190621316
FDD28,OUT019,1493.149609810216
NCP41,OUT017,1777.1121347401147
FDS08,OUT049,1842.388110855558
FDX47,OUT045,1775.009350777259
FDC53,OUT019,1528.2483262521446
FDQ19,OUT035,1924.81118690738
FDL14,OUT045,1809.0255762711054
FDM33,OUT019,1568.8949853910558
FDA51,OUT045,1743.228914196232
FDZ27,OUT018,1679.125237063726
FDT04,OUT046,1700.4044892556149
DRC13,OUT049,1756.0896685562952
FDR16,OUT027,1932.0399136945005
FDQ03,OUT027,1910.8723024214482
FDE38,OUT035,1844.5360501638318
DRH23,OUT027,1767.545469168579
FDT11,OUT019,1640.8354419690456
FDD09,OUT035,1889.9399718792463
FDR40,OUT045,1739.4859841792786
FDX07,OUT017,1872.5453827420924
FDR07,OUT035,1793.6330298386522
FDA51,OUT017,1759.3814665120565
FDT59,OUT019,1651.0375874721499
FDF20,OUT017,1889.6244585173533
FDR13,OUT045,1777.1561656126278
FDY26,OUT049,1846.823608455553
FDW04,OUT017,1797.400668487086
FDK52,OUT017,1877.5639905183712
FDN60,OUT049,1795.741299342885
FDM09,OUT019,1527.3821695507002
FDP46,OUT049,1773.622702479982
FDB50,OUT019,1552.3612835757126
NCQ29,OUT049,1853.1834700409463
FDP16,OUT027,1962.4616898452382
FDX33,OUT018,1761.0641481074701
FDP07,OUT010,1591.5375007562284
FDN22,OUT046,1885.1472795357931
FDF39,OUT049,1881.1208348220732
FDS21,OUT017,1762.7347597180421
NCM42,OUT013,1797.2620151023277
FDK50,OUT019,1564.793567013562
DRF13,OUT027,1872.3950495271695
FDH35,OUT018,1725.9485766379844
FDP60,OUT018,1702.704688617996
DRJ49,OUT027,1855.8236962443432
NCT42,OUT019,1553.9389344040264
FDE38,OUT049,1816.3889388531197
FDI04,OUT049,1846.525571902168
NCH54,OUT045,1839.5053107293747
FDT56,OUT049,1729.5316345670462
DRD15,OUT018,1790.0679716429902
FDV58,OUT013,1883.8819302453
FDP21,OUT049,1862.9509667531838
FDH05,OUT013,1875.1046566702287
FDR10,OUT027,1965.7039082675833
NCP06,OUT045,1828.0054296418932
FDF33,OUT049,1716.3304157157997
DRK37,OUT013,1806.9064339576953
DRH49,OUT045,1727.4030904642468
FDT58,OUT013,1862.532571918166
FDD41,OUT018,1706.2939281499882
FDP40,OUT018,1715.04343567859
FDM51,OUT027,1860.4952466765483
FDO45,OUT010,1505.29672756062
FDW33,OUT010,1505.9426792348384
FDY24,OUT045,1709.203316083353
FDB10,OUT010,1577.5058597825896
FDM40,OUT035,1798.2135656143735
NCI06,OUT017,1879.2559922179516
FDW12,OUT019,1545.2966142656287
FDX48,OUT027,1904.4668720430147
NCW05,OUT027,1841.190807546174
FDX27,OUT017,1757.5199644369
DRM37,OUT045,1800.728125008114
FDA38,OUT045,1838.5066989240324
FDR36,OUT046,1694.004871375459
FDZ45,OUT046,1878.688100443592
FDG05,OUT017,1821.3769084210958
FDK28,OUT013,1881.7142947726043
FDV47,OUT045,1741.230191317082
FDN21,OUT045,1836.9778414662592
FDP20,OUT027,1903.7095359192672
FDI35,OUT045,1752.948995313294
DRY23,OUT013,1710.356495990664
FDA56,OUT017,1817.5273116827411
FDB09,OUT013,1818.6026812906741
NCO26,OUT027,1919.6542002317492
FDQ49,OUT018,1714.2817910023532
FDI52,OUT027,1894.0621632016841
FDZ44,OUT027,1934.1070145562135
FDZ09,OUT018,1767.0767255477538
FDY03,OUT049,1766.261822409053
NCG42,OUT017,1818.029385196114
DRI13,OUT027,1898.7693634929374
FDQ32,OUT013,1819.8287359086091
FDW16,OUT035,1777.1830155679536
FDU27,OUT046,1711.5551590518971
FDR28,OUT010,1549.2420172676273
FDQ49,OUT010,1682.1173921029044
FDS37,OUT046,1776.4638360201402
FDW26,OUT018,1778.2044996857674
FDX12,OUT018,1785.588513310535
NCP06,OUT013,1845.6927362241825
FDW45,OUT010,1534.9940086393135
NCN30,OUT049,1789.2882201857333
FDN24,OUT049,1707.1148548656738
NCL41,OUT027,1821.6712714092062
FDR02,OUT019,1534.1345069051638
FDD09,OUT010,1551.5264156973267
FDS33,OUT010,1534.8627358518481
FDU22,OUT045,1794.5761588069327
FDI53,OUT013,1807.8218792022792
DRH01,OUT049,1788.275769428576
FDX32,OUT013,1828.8930748813104
NCP30,OUT018,1687.3304194516384
FDB60,OUT045,1824.6613309521579
FDB14,OUT049,1754.9894080134075
NCP02,OUT035,1773.2372327404516
FDJ10,OUT017,1814.0190358473283
FDG34,OUT046,1798.6008756498354
NCB18,OUT017,1789.6425252703013
FDM16,OUT049,1735.51788056489
FDW25,OUT018,1705.549790079393
FDB35,OUT010,1658.359895420626
DRN11,OUT013,1747.9222065636372
FDF41,OUT019,1577.7744130429096
FDH16,OUT045,1740.7482869243408
NCQ50,OUT018,1799.7866874518045
DRH23,OUT018,1698.5739511336747
DRJ37,OUT013,1791.6648967399774
DRJ24,OUT027,1879.1415776780539
FDY16,OUT035,1852.5532574326528
FDQ27,OUT045,1753.2771498011014
FDZ33,OUT045,1818.8635254038863
FDF29,OUT045,1787.6496865879546
FDA08,OUT049,1842.6193327867168
FDG31,OUT046,1735.475555837519
FDE34,OUT019,1587.3851499851862
NCR30,OUT027,1883.9990890453141
FDV33,OUT035,1943.9887608035835
DRZ24,OUT018,1715.4951735489224
NCL54,OUT035,1884.104004672455
FDR12,OUT049,1815.0336321283976
NCC54,OUT046,1842.4817576057987
DRN59,OUT013,1723.4116430553458
FDX50,OUT019,1527.9363700641536
FDV31,OUT027,1966.1947051780971
NCA29,OUT027,1965.6425207685431
FDW60,OUT049,1808.9242006070647
FDX08,OUT017,1878.7322263045894
DRD49,OUT013,1816.2158729211974
FDD33,OUT046,1886.5800268627386
FDW35,OUT013,1733.4111497301212
FDJ36,OUT017,1755.1898714932288
FDV51,OUT035,1825.92598839534
FDW36,OUT046,1755.061982613168
FDH35,OUT046,1748.22571072486
NCS30,OUT027,1921.0609175366371
FDN49,OUT017,1710.4036544805963
FDL08,OUT018,1817.0756718038035
FDI09,OUT013,1719.5425100936327
FDP19,OUT018,1720.2993342108934
FDU21,OUT010,1484.6192604794292
NCP41,OUT045,1756.1456954885364
FDY10,OUT013,1821.1581955214394
FDP12,OUT018,1666.931834868984
NCN26,OUT049,1808.0891412084775
FDK44,OUT013,1834.6646647468945
FDC28,OUT049,1764.777470519875
FDJ41,OUT027,1960.5446452082651
NCT29,OUT035,1793.372545129797
NCH42,OUT019,1586.9011277934524
FDU60,OUT018,1743.4628745980917
FDS02,OUT045,1812.2792325516793
FDC51,OUT046,1777.9218955115273
FDU03,OUT013,1818.436801338943
FDX39,OUT045,1828.553651228963
NCY05,OUT010,1521.8765146215
NCL06,OUT027,1994.552597318975
FDD32,OUT035,1788.0353502705227
NCN41,OUT045,1765.2073589691017
NCX53,OUT049,1787.989495393606
FDU57,OUT019,1521.5066199817522
FDQ23,OUT046,1753.2014336966258
FDQ52,OUT045,1866.9770023392996
FDC14,OUT045,1713.8160794806172
FDY09,OUT035,1893.5189127831013
FDQ28,OUT045,1807.6695404429215
FDV25,OUT046,1833.4919503175422
FDJ07,OUT035,1787.8661833978722
DRB25,OUT049,1742.4754557201718
FDK52,OUT019,1565.6285960622567
FDY52,OUT027,1854.8375648062054
FDB28,OUT046,1822.1623127310577
FDT36,OUT035,1708.35269550004
FDV25,OUT017,1868.4577045900626
NCN07,OUT027,1777.8824153889568
FDC57,OUT017,1876.8299771481993
FDQ03,OUT018,1780.3637174502096
FDU23,OUT017,1791.6593684609195
NCX41,OUT035,1855.43158754369
NCD06,OUT035,1757.6433853250683
FDW08,OUT045,1752.8924575996439
NCU29,OUT017,1790.3943701387677
NCE06,OUT013,1843.8946178804147
FDV52,OUT010,1536.8289744500696
FDB02,OUT017,1845.1888388798957
NCR18,OUT045,1732.658998958023
FDK16,OUT049,1757.3016465438798
NCQ29,OUT010,1604.281272193093
FDZ01,OUT019,1552.9927447228627
FDW27,OUT035,1795.2773374838243
FDD17,OUT018,1797.143749030514
FDW39,OUT013,1815.5855239373636
DRH59,OUT045,1720.6843989673157
FDS52,OUT013,1776.8977620652727
FDU40,OUT027,1937.7250731145061
NCF54,OUT013,1868.8863071082324
FDH46,OUT045,1777.890374948001
NCP14,OUT049,1781.7408044661563
FDH50,OUT049,1836.757174534908
DRF15,OUT010,1555.8892887162585
FDV27,OUT027,1848.130160579866
NCJ06,OUT049,1809.036092874469
FDN02,OUT018,1777.586635935112
FDQ51,OUT049,1725.139279766216
FDQ07,OUT017,1902.525592695779
